Timestamp,Description,IP,Slave,Register,Register_Name,Value
2025-07-14 13:52:08 PM,PM A1 Substation,10.129.7.17,14,2344,Active Energy Net Sum Element (MSW),8978432.0
2025-07-14 13:52:08 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 13:52:08 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 13:52:08 PM,PM Autoclave 3,10.129.7.7,17,2344,Active Energy Net Sum Element (MSW),104448.0
2025-07-14 13:52:08 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 13:52:08 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 13:52:08 PM,PM Drop Bottom,10.129.7.16,15,2344,Active Energy Net Sum Element (MSW),823296.0
2025-07-14 13:52:08 PM,PM Autoclave 9,10.129.7.14,23,2344,Active Energy Net Sum Element (MSW),819200.0
2025-07-14 13:52:08 PM,PM Autoclave 4,10.129.7.9,18,2344,Active Energy Net Sum Element (MSW),122880.0
2025-07-14 13:52:08 PM,PM Autoclave 6,10.129.7.11,22,2344,Active Energy Net Sum Element (MSW),399360.0
2025-07-14 13:52:08 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 13:52:08 PM,PM A3 Substation,10.129.7.18,16,2344,Active Energy Net Sum Element (MSW),4145152.0
2025-07-14 13:52:08 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 13:53:09 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 13:53:09 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 13:53:09 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 13:53:09 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 13:53:09 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 13:53:09 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 13:53:09 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 13:53:09 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 13:53:09 PM,PM Drop Bottom,10.129.7.16,15,2344,Active Energy Net Sum Element (MSW),823296.0
2025-07-14 13:53:09 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 13:53:09 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 13:53:09 PM,PM Autoclave 9,10.129.7.14,23,2344,Active Energy Net Sum Element (MSW),819200.0
2025-07-14 13:53:09 PM,PM A3 Substation,10.129.7.18,16,2344,Active Energy Net Sum Element (MSW),4145152.0
2025-07-14 13:53:09 PM,PM Autoclave 4,10.129.7.9,18,2344,Active Energy Net Sum Element (MSW),122880.0
2025-07-14 13:53:09 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 13:53:09 PM,PM Autoclave 6,10.129.7.11,22,2344,Active Energy Net Sum Element (MSW),399360.0
2025-07-14 13:53:09 PM,PM Autoclave 3,10.129.7.7,17,2344,Active Energy Net Sum Element (MSW),104448.0
2025-07-14 13:53:09 PM,PM A1 Substation,10.129.7.17,14,2344,Active Energy Net Sum Element (MSW),8978432.0
2025-07-14 13:53:09 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 13:54:10 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 13:54:10 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 13:54:10 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 13:54:10 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 13:54:10 PM,PM A3 Substation,10.129.7.18,16,2344,Active Energy Net Sum Element (MSW),4145152.0
2025-07-14 13:54:10 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 13:54:10 PM,PM A1 Substation,10.129.7.17,14,2344,Active Energy Net Sum Element (MSW),8978432.0
2025-07-14 13:54:10 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 13:54:10 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 13:54:10 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 13:54:10 PM,PM Drop Bottom,10.129.7.16,15,2344,Active Energy Net Sum Element (MSW),823296.0
2025-07-14 13:54:10 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 13:54:10 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 13:54:10 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 13:54:10 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 13:54:10 PM,PM Autoclave 4,10.129.7.9,18,2344,Active Energy Net Sum Element (MSW),122880.0
2025-07-14 13:54:10 PM,PM Autoclave 3,10.129.7.7,17,2344,Active Energy Net Sum Element (MSW),104448.0
2025-07-14 13:54:10 PM,PM Autoclave 6,10.129.7.11,22,2344,Active Energy Net Sum Element (MSW),399360.0
2025-07-14 13:54:10 PM,PM Autoclave 9,10.129.7.14,23,2344,Active Energy Net Sum Element (MSW),819200.0
2025-07-14 13:55:11 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 13:55:11 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 13:55:11 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 13:55:11 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 13:55:11 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 13:55:11 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 13:55:11 PM,PM A1 Substation,10.129.7.17,14,2344,Active Energy Net Sum Element (MSW),8978432.0
2025-07-14 13:55:11 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 13:55:11 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 13:55:11 PM,PM A3 Substation,10.129.7.18,16,2344,Active Energy Net Sum Element (MSW),4145152.0
2025-07-14 13:55:11 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 13:55:11 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 13:55:11 PM,PM Autoclave 6,10.129.7.11,22,2344,Active Energy Net Sum Element (MSW),399360.0
2025-07-14 13:55:11 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 13:55:11 PM,PM Autoclave 3,10.129.7.7,17,2344,Active Energy Net Sum Element (MSW),104448.0
2025-07-14 13:55:11 PM,PM Drop Bottom,10.129.7.16,15,2344,Active Energy Net Sum Element (MSW),823296.0
2025-07-14 13:55:11 PM,PM Autoclave 9,10.129.7.14,23,2344,Active Energy Net Sum Element (MSW),819200.0
2025-07-14 13:55:11 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 13:55:11 PM,PM Autoclave 4,10.129.7.9,18,2344,Active Energy Net Sum Element (MSW),122880.0
2025-07-14 13:56:12 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 13:56:12 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 13:56:12 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 13:56:12 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 13:56:12 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 13:56:12 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 13:56:12 PM,PM A1 Substation,10.129.7.17,14,2344,Active Energy Net Sum Element (MSW),8978432.0
2025-07-14 13:56:12 PM,PM Drop Bottom,10.129.7.16,15,2344,Active Energy Net Sum Element (MSW),823296.0
2025-07-14 13:56:12 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 13:56:12 PM,PM Autoclave 3,10.129.7.7,17,2344,Active Energy Net Sum Element (MSW),104448.0
2025-07-14 13:56:12 PM,PM Autoclave 4,10.129.7.9,18,2344,Active Energy Net Sum Element (MSW),122880.0
2025-07-14 13:56:12 PM,PM Autoclave 6,10.129.7.11,22,2344,Active Energy Net Sum Element (MSW),399360.0
2025-07-14 13:56:12 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 13:56:12 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 13:56:12 PM,PM A3 Substation,10.129.7.18,16,2344,Active Energy Net Sum Element (MSW),4145152.0
2025-07-14 13:56:12 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 13:56:12 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 13:56:12 PM,PM Autoclave 9,10.129.7.14,23,2344,Active Energy Net Sum Element (MSW),819200.0
2025-07-14 13:56:12 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 13:57:13 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 13:57:13 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 13:57:13 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 13:57:13 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 13:57:13 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 13:57:13 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 13:57:13 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 13:57:13 PM,PM A1 Substation,10.129.7.17,14,2344,Active Energy Net Sum Element (MSW),8978432.0
2025-07-14 13:57:13 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 13:57:13 PM,PM Drop Bottom,10.129.7.16,15,2344,Active Energy Net Sum Element (MSW),823296.0
2025-07-14 13:57:13 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 13:57:13 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 13:57:13 PM,PM A3 Substation,10.129.7.18,16,2344,Active Energy Net Sum Element (MSW),4145152.0
2025-07-14 13:57:13 PM,PM Autoclave 4,10.129.7.9,18,2344,Active Energy Net Sum Element (MSW),122880.0
2025-07-14 13:57:13 PM,PM Autoclave 6,10.129.7.11,22,2344,Active Energy Net Sum Element (MSW),399360.0
2025-07-14 13:57:13 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 13:57:13 PM,PM Autoclave 9,10.129.7.14,23,2344,Active Energy Net Sum Element (MSW),819200.0
2025-07-14 13:57:13 PM,PM Autoclave 3,10.129.7.7,17,2344,Active Energy Net Sum Element (MSW),104448.0
2025-07-14 13:58:52 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 13:58:52 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 13:58:52 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 13:58:52 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 13:58:52 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 13:58:52 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 13:58:52 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 13:58:52 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 13:58:52 PM,PM A1 Substation,10.129.7.17,14,2344,Active Energy Net Sum Element (MSW),8978432.0
2025-07-14 13:58:52 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 13:58:52 PM,PM Autoclave 3,10.129.7.7,17,2344,Active Energy Net Sum Element (MSW),104448.0
2025-07-14 13:58:52 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 13:58:52 PM,PM Autoclave 4,10.129.7.9,18,2344,Active Energy Net Sum Element (MSW),122880.0
2025-07-14 13:58:52 PM,PM Autoclave 9,10.129.7.14,23,2344,Active Energy Net Sum Element (MSW),819200.0
2025-07-14 13:58:52 PM,PM Drop Bottom,10.129.7.16,15,2344,Active Energy Net Sum Element (MSW),823296.0
2025-07-14 13:58:53 PM,PM A3 Substation,10.129.7.18,16,2344,Active Energy Net Sum Element (MSW),4145152.0
2025-07-14 13:58:53 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 13:58:53 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 13:58:53 PM,PM Autoclave 6,10.129.7.11,22,2344,Active Energy Net Sum Element (MSW),399360.0
2025-07-14 13:59:53 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 13:59:53 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 13:59:53 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 13:59:53 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 13:59:53 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 13:59:53 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 13:59:53 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 13:59:53 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 13:59:53 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 13:59:53 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 13:59:53 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 13:59:53 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 14:01:33 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 14:01:33 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 14:01:33 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 14:01:33 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 14:01:33 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 14:01:33 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 14:01:33 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 14:01:33 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 14:01:33 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 14:01:33 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 14:01:33 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 14:01:33 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 14:03:13 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 14:03:13 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 14:03:13 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 14:03:13 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 14:03:13 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 14:03:13 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 14:03:13 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 14:03:13 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 14:03:13 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 14:03:13 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 14:03:13 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 14:03:13 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 14:04:52 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 14:04:52 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 14:04:52 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 14:04:52 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 14:04:52 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 14:04:52 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 14:04:52 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 14:04:52 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 14:04:52 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 14:04:52 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 14:04:52 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 14:04:52 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 14:06:32 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 14:06:32 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 14:06:32 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 14:06:32 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 14:06:32 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 14:06:32 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 14:06:32 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 14:06:32 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 14:06:32 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 14:06:32 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 14:06:32 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 14:06:32 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 14:08:11 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 14:08:11 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 14:08:11 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 14:08:11 PM,PM Autoclave 8,10.129.7.13,8,2344,Active Energy Net Sum Element (MSW),184320.0
2025-07-14 14:08:11 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
2025-07-14 14:08:11 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 14:08:11 PM,PM C1A Substation,10.129.7.23,11,2344,Active Energy Net Sum Element (MSW),266240.0
2025-07-14 14:08:11 PM,PM B3 Substation,10.129.7.20,13,2344,Active Energy Net Sum Element (MSW),2654208.0
2025-07-14 14:08:11 PM,PM C2L Substation,10.129.7.24,9,2344,Active Energy Net Sum Element (MSW),248832.0
2025-07-14 14:08:11 PM,PM Autoclave 5,10.129.7.10,6,2344,Active Energy Net Sum Element (MSW),618496.0
2025-07-14 14:08:11 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 14:08:11 PM,PM Autoclave 10,10.129.7.15,20,2344,Active Energy Net Sum Element (MSW),933888.0
2025-07-14 14:09:51 PM,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),100352.0
2025-07-14 14:09:51 PM,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),224256.0
2025-07-14 14:09:51 PM,PM Autoclave 1,10.129.7.6,19,2344,Active Energy Net Sum Element (MSW),284672.0
2025-07-14 14:09:51 PM,PM Autoclave 2,10.129.7.8,7,2344,Active Energy Net Sum Element (MSW),12672.0
2025-07-14 14:09:51 PM,PM B2 Substation,10.129.7.19,12,2344,Active Energy Net Sum Element (MSW),995328.0
2025-07-14 14:09:51 PM,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),270336.0
